description,brand,price,website,search_term,scrape_timestamp
Galletas de Soda SAN JORGE Paquete 7un,SAN JORGE,S/ 4.50,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galleta Vainilla FIELD Paquete 6un,FIELD,S/ 5.50,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas Soda FIELD Bolsa 6un,FIELD,S/ 3.50,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas de Maíz SALMAS Horneadas Caja 216g,SALMAS,S/ 14.50,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galleta Doña Pepa FIELD Paquete 6un,FIELD,S/ 5.00,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas MOROCHAS Paquete 180g,NESTLE MOROCHAS,S/ 5.30,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas de Agua Line COSTA Paquete 42g,COSTA,S/ 4.70,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas Saldas CRACKELET Snack Jamón Ahumado Bolsa 150g,COSTA,S/ 4.00,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galleta CLUB SOCIAL Original Bolsa 144g,NABISCO CLUB SOCIAL,S/ 4.20,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas COSTA Soda Line Paquete 170g,COSTA,S/ 2.99,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas de Vainilla COSTA VAINIYA! Paquete 6un,COSTA,S/ 4.20,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas NABISCO Chips Ahoy Bolsa 222g,NABISCO,S/ 7.60,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas FIELD Cream Crakers Bolsa 258g,FIELD CREAM CRAKER,S/ 6.90,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas de Maíz SALMAS Horneadas con Camote y Zanahoria Caja 126g,SALMAS,S/ 11.20,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas de Soda SODA V Paquete 6un,VICTORIA,S/ 3.90,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas sin Gluten con Maní +NUTRI Co Caja 5un,+NUTRI CO,S/ 14.90,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas con Quinua y Chispas de Chocolate INCASUR Paquete 6un,INCASUR,S/ 9.50,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas Marmoleadas ANA AVELLANA Pote 320g,ANA AVELLANA,S/ 24.90,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas Nutrisnack GERBER Plátano y Fresa Sobre 42g,GERBER,S/ 19.50,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galletas de Maíz SALMAS Horneadas Caja 144g,SALMAS,S/ 8.00,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
Galleta OREO Twelve Paquete 12un,NABISCO OREO,S/ 8.90,vivanda,GALLETAS DULCES,2024-12-03 23:22:30.965020
