description,brand,price,website,search_term,scrape_timestamp
Conserva VALLE FERTIL Choclo dulce desgranado Lata 248Gr,VALLE FERTIL,S/ 7.10,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva BELL'S Palmitos Enteros en Salmuera Frasco 430g,BELL'S,S/ 13.90,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Pescado Bonito Entero Fresco,VIVANDA,S/ 7.70,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva CALE Aceitunas al ají Frasco 185g,CALE,S/ 13.00,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva CALE Aceitunas y alcachofas Frasco 185g,CALE,S/ 13.00,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva de Durazno en Mitades ACONCAGUA en Almibar Lata 822g,ACONCAGUA,S/ 10.90,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva de Pechuga de Pavo ALDELÍS en Agua y Sal Lata 155g,ALDELÍS,S/ 8.40,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva VALLE FERTIL Espárragos verdes Frasco 210Gr,VALLE FERTIL,S/ 10.20,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva VALLE FERTIL Pimiento piquillo Frasco 290Gr,VALLE FERTIL,S/ 10.30,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva de Betarraga BELL'S Lata 345g,BELL'S,S/ 6.50,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Pescado Bonito Entero PESCANOVA,PESCANOVA,S/ 7.50,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva de Maíz Tierno Entero GOYA Lata 248g,GOYA,S/ 7.90,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva BELL'S Puré de manzana Frasco 470g,BELL'S,S/ 9.20,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
Conserva VALLE FERTIL Jalapeños en rodajas Frasco 225Gr,VALLE FERTIL,S/ 9.30,vivanda,GRATED DE PESCADO EN CONSERVA,2024-12-03 23:50:02.183644
