description,brand,price,website,search_term,scrape_timestamp
Pan de Molde Blanco DON MAMINO sin Corteza Bolsa 560g,DON MAMINO,S/ 13.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Integral 6 Semillas LA FLORENCIA Bolsa 500g,LA FLORENCIA,S/ 12.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Integral LA FLORENCIA Bolsa 500g,LA FLORENCIA,S/ 7.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Yema LA FLORENCIA Bolsa 310g,LA FLORENCIA,S/ 4.30,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Laminado de Centeno LA FLORENCIA Bolsa 350g,LA FLORENCIA,S/ 8.40,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesano Blanco BIMBO Bolsa 560g,BIMBO,S/ 13.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde BIMBO Integral Bolsa 750g,BIMBO,S/ 14.40,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Artesano Integral BIMBO Bolsa 560g,BIMBO,S/ 13.80,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Baguette Especial LA FLORENCIA 1un,VIVANDA,S/ 2.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Integral UNIÓN Mediano Bolsa 360g,UNIÓN,S/ 9.40,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Pita BIMBO Cero Cero Bolsa 240g,BIMBO,S/ 6.80,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Francés Refrigerado Bolsa 6un,VIVANDA,S/ 5.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Integral BIMBO Mediano Bolsa 480g,BIMBO,S/ 11.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan de Molde Blanco BIMBO Extra Grande Bolsa 750g,BIMBO,S/ 14.40,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pan Ciabatta Refrigerado Bolsa 6un,VIVANDA,S/ 5.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
