description,price,website,search_term,scrape_timestamp
Mantequilla con Sal Gloria 390g,S/ 17.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Laive 180g,S/ 10.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Gloria 180g,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla Plusa Con Sal Barra 200 g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla Gloria Sin Sal 180g,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Laive 180g,S/ 13.99,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Maní Untable Pote 410 g,S/ 25.00,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Danlac Frasco 180g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla Sin Sal Laive 180g,S/ 10.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Maní Cuisine&Co Frasco 410 g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Gloria 180g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Gloria 90g,S/ 6.40,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Président Barra 200 gr,S/ 20.70,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Laive 100g,S/ 7.60,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Maní Sin Azúcar Santa Manía Frasco 230 g,S/ 20.50,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla sin Sal Président Barra 200 gr,S/ 20.70,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Maní Spread 410g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Frutos Secos Almendras The Butter Factory Frasco 200 g,S/ 31.00,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal Piamonte 250g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Maní Orgánica Wasi Frasco 240 g,S/ 23.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Maní Peter Pan Crunchy Frasco 16.3 Onzas,S/ 30.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla Con Sal Paysan Breton Barra 200 g,S/ 26.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla con Sal La Abuela 150g,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla de Maní Peter Pan Creamy Frasco 16.3 Onzas,S/ 30.90,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
Mantequilla La Chuguranita Barra 150 g,S/ 16.20,wong,MANTEQUILLA ENVASADA,2024-12-05 18:25:04.559173
