description,price,website,search_term,scrape_timestamp
Agua Sin Gas Mineral San Mateo Bidón 7 L,S/ 9.00,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Sin Gas Mineral San Mateo Pack 6 Unidades de 600 ml c/u,S/ 10.80,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Con Gas Mineral San Mateo Pack 6 Unidades de 600 ml c/u,S/ 10.80,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Sin Gas Mineral San Mateo Botella 2.5 L,S/ 3.20,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua con Gas Mineral San Mateo Botella 600ml,S/ 1.80,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Sin Gas Mineral San Mateo Botella 600ml,S/ 1.80,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral Acqua Panna Botella 750ml,S/ 12.30,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral Evian 1.5L,S/ 17.50,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral con Gas San Pellegrino Botella 250ml,S/ 7.70,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral con Gas Perrier Botella 330ml,S/ 6.90,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral Ozonizada Merrs Rosa Botella 630 ml,S/ 3.20,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral Perrier Botella 750ml,S/ 12.50,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral Natural Sin Gas Acqua Panna Glass 505 ml,S/ 7.90,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Agua Mineral Natural Sin Gas Acqua Panna Botella 500ml,S/ 6.90,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Fourpack Agua Mineral Natural Sin Gas Acqua Panna Botella 750ml,S/ 44.00,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Sixpack Agua Mineral Sin Gas San Mateo Botella 2.5L,S/ 16.80,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
Twelvepack Agua Mineral Natural Sin Gas Acqua Panna Botella 750ml,S/ 129.00,wong,AGUA MINERAL SIN GAS,2024-12-06 15:01:33.385822
