description,price,website,search_term,scrape_timestamp
Café Instantáneo Altomayo Gourmet 170g,S/ 28.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Fina Selección 200g,S/ 30.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Gold 200g,S/ 44.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Kirma Clásico 190g,S/ 26.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Tradición 170g,S/ 25.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Descafeinado 170g,S/ 41.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Gold 100g,S/ 38.80,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Gourmet 150g,S/ 29.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Tradición 250g,S/ 34.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Granulado Wong 200g,S/ 15.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Liofilizado Cafetal 180g,S/ 23.00,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Intenso Kronung Jacobs Frasco 200 g,S/ 50.20,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Gold 50g,S/ 22.20,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Kirma Clásico 150g,S/ 23.00,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Descafeinado Altomayo 170g,S/ 37.10,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Illy Smooth Taste 95g,S/ 31.70,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Clásico 150g,S/ 18.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Descafeinado 40g,S/ 17.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Clásico 170g,S/ 22.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Gold Suave Cronat Gold Jacobs Frasco 200 g,S/ 50.20,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Liofilizado Wong Frasco 200 g,S/ 22.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Gourmet 45g,S/ 12.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cafetal 150g,S/ 20.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Descafeinado Altomayo 45g,S/ 13.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Illy Intenso 95g,S/ 31.70,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Premium 170g,S/ 39.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Descafeinado 100g,S/ 29.40,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Descafeinado Instantáneo Jacobs Frasco 100 g,S/ 26.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Tradición 100g,S/ 25.30,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Gourmet 190g,S/ 41.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Colcafé Clásico Frasco 170 g,S/ 25.20,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Tradición 170g + Mezcla Láctea Ideal Cremosita Lata 390g,S/ 25.00,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Gourmet 90g,S/ 21.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Tradición 170g + Taza,S/ 28.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Fina Selección 100g,S/ 26.20,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Liofilizado Wong Frasco 100 g,S/ 11.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cafetal Clásico 180g,S/ 17.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Tradición 150g,S/ 26.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Premium 45g,S/ 17.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Descafeinado Cuisine & Co 190g,S/ 34.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cuisine & Co Clásico 50g,S/ 5.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Kirma Clásico 190g + Mezcla Láctea Ideal Amanecer Lata 390g,S/ 25.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cuisine & Co Clásico 180g,S/ 19.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Clásico 80g,S/ 12.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Altomayo Clásico 190g,S/ 30.40,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Granulado Descafeinado Cuisine & Co 180g,S/ 27.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Gold Suave Cronat Gold Jacobs Frasco 100 g,S/ 26.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Granulado Descafeinado Cuisine & Co 50g,S/ 9.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Colcafé Clásico Frasco 50 g,S/ 11.70,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Granulado Cuisine & Co 100g,S/ 13.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cafetal Clásico 150g,S/ 13.80,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Wong 185g,S/ 15.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cuisine & Co 190g,S/ 34.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Granulado Colcafé Frasco 50 g,S/ 11.70,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Granulado Cuisine & Co 180g,S/ 25.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cuisine & Co Puro 50g,S/ 6.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Liofilizado Cuisine & Co 180g,S/ 26.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Liofilizado Cafetal 90g,S/ 19.70,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Jacobs 95g,S/ 26.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Cuisine & Co 100g,S/ 19.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Liofilizado Descafeinado Supreme by Bustelo 100g,S/ 49.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Puro Cuisine & Co 180g,S/ 22.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Folgers Classic Roast 340g,S/ 75.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Liofilizado Cuisine & Co 100g,S/ 17.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Folgers Classic Roast 85g,S/ 32.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Granulado Colcafé Frasco 170 g,S/ 28.70,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Descafeinado Bustelo Espresso 100g,S/ 38.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Marley Coffee Positive Vibration 100g,S/ 43.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Wong Descafeinado 185g,S/ 19.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Nescafé Tradición 170g + 50g,S/ 29.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Liofilizado Supreme by Bustelo 100g,S/ 49.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Descafeinado Folgers Classic 226g,S/ 65.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Bustelo Espresso 100g,S/ 34.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Folgers Classic Roast 226g,S/ 61.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Café Instantáneo Bustelo Espresso 200g,S/ 49.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Bebida Instantánea Nescafé Gold Capuccino 10un,S/ 19.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Cebada Instantánea Ecco 170g,S/ 15.20,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Cebada Instantánea Ecco 250g,S/ 18.60,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Bebida Instantánea Nescafé Gold Moka 8un,S/ 19.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Cremador Almendra Vainilla Nature's Heart Sin Azúcar 500ml,S/ 11.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Crema para Café Sin Lactosa Libby's Frasco 454 g,S/ 25.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Bebida Instantánea Nescafé Vainilla Latte 8un,S/ 19.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Sixpack Café Instantáneo Illy Intenso 95g,S/ 150.00,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Cremador Almendra Nature's Heart Sin Azúcar 500ml,S/ 11.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Lata Café Instantáneo Altomayo Gourmet 170g + 90g,S/ 38.50,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Tripack Café Instantáneo Illy Smooth Taste 95g,S/ 85.00,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Cappuccino Colcafé Clásico 6un,S/ 13.70,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Cebada Instantánea Kimbo Doypack 100 g,S/ 6.10,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
Cebada Instantánea Cuisine & Co 170g,S/ 8.90,wong,CAFÉ INSTANTÁNEO,2024-12-06 14:59:01.896941
