description,price,website,search_term,scrape_timestamp
Cebolla Roja x kg,S/ 2.99 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Blanca x kg,S/ 2.19 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla China x atado,S/ 3.29,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla China Manantiales 200g,S/ 3.59,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Roja Agro Selecto 1Kg,S/ 2.38,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Blanca Agro Selecto 1kg,S/ 2.19,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Roja Agro Selecto 2Kg,S/ 4.75,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Blanca Agro Selecto 2kg,S/ 5.50,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Picada en Cuadritos Wong 200g,S/ 11.50,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla China Cuisine & Co 180g,S/ 3.50,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla China Viva,S/ 6.00,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla en Polvo Badía Frasco 2.75 Onzas,S/ 9.70,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Picada Larguita Wong Taper 200g,S/ 11.50,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla en Polvo Orgánica Badía Frasco 49.6 g,S/ 16.90,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Blanca Granulada Oli21 75g,S/ 13.90,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Blanca Campo Lindo x kg,S/ 7.25 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cebolla Picada Badia 113g,S/ 26.90,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Ajos Enteros sin Pelar x kg,S/ 19.99 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Ají Amarillo x kg,S/ 11.99 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Bisteck Cabeza de Lomo Nacional x kg,S/ 40.90 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Papa en Hojuelas Inka Chips BBQ y Cebolla 135g,S/ 8.00,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Rocoto x kg,S/ 14.99 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Bisteck de Cabeza de Lomo de Ternero Wong x kg,S/ 66.90 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Ají Limo x kg,S/ 11.89 x kg,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Papa en Hojuelas Inka Chips Queso y Cebolla 135g,S/ 8.00,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Papas Pringles Crema y Cebolla 109g,S/ 8.90,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Ají Panca Despepitado Naturandes Bandeja 100g,S/ 13.02,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Cuy Sin Cabeza Sin Patas Wong,S/ 41.40,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Ají Mirasol Despepitado Naturandes Bandeja 100g,S/ 13.60,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Colgante Krea Pack 2 Cebollas Palacio Navidad 2024,S/ 1.50,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
Jabón Líquido Johnson's Baby De la Cabeza a los Pies 400ml,S/ 26.20,wong,CEBOLLA DE CABEZA (ROJA),2024-12-06 14:20:50.668981
