description,price,website,search_term,scrape_timestamp
Pepinillo x un,S/ 2.50,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Premium La Huerta x unid,S/ 6.00,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Holandés Frescas x un,S/ 3.70,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Pickles Hidropónico de Invernadero Ecologic Bandeja 300g,S/ 5.40,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Hidropónico Ecologic x un,S/ 3.70,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Encurtidos Cuisine & Co Pote 510 g,S/ 11.50,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Encurtido 220g,S/ 8.96,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Encurtido Receta Europea Valle Fértil Frasco 680 g,S/ 20.30,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Entero Olivos del Sur 550g,S/ 15.80,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos en Salmuera Hengstenberg 650g,S/ 34.90,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Encurtidos Calé 240g,S/ 8.99,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Japonés La Huerta 420g,S/ 6.20,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos a la Polaca Hengstenberg Frasco 670 g,S/ 34.70,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos en Rodajas Olivos del Sur 520g,S/ 20.90,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillo Encurtido Receta Americana Valle Fértil Frasco 680 g,S/ 20.30,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Baby Hengstenberg Frasco 370 g,S/ 35.20,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Encurtidos Baby Valle Fértil 330g,S/ 13.10,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Hengstenberg Frasco 330 g,S/ 34.80,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Bebè Encurtidos Essential Everyday 473ml,S/ 21.50,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Agridulces Hengstenberg 670ml,S/ 34.60,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Crujientes Hengstenberg Frasco 670 g,S/ 28.50,wong,PEPINILLO,2024-12-06 14:13:36.360943
Pepinillos Encurtidos Huerto Mejía 400g,S/ 11.00,wong,PEPINILLO,2024-12-06 14:13:36.360943
