description,price,website,search_term,scrape_timestamp
Fresas Emporio 600g,S/ 15.99,wong,FRESA,2024-12-07 17:34:37.667164
Arándanos Extra Wong 500g,S/ 19.50,wong,FRESA,2024-12-07 17:34:37.667164
Arándano Hortifrut 300g,S/ 10.99,wong,FRESA,2024-12-07 17:34:37.667164
Arándanos Wong 200g,S/ 7.99,wong,FRESA,2024-12-07 17:34:37.667164
Fresa Americana 600g,S/ 13.49,wong,FRESA,2024-12-07 17:34:37.667164
Arándano Blueberry 500 g,S/ 15.99,wong,FRESA,2024-12-07 17:34:37.667164
Frambuesa Siembra Perú Bandeja 250g,S/ 25.99,wong,FRESA,2024-12-07 17:34:37.667164
Zarzamora 250g,S/ 15.99,wong,FRESA,2024-12-07 17:34:37.667164
Zarzamora Hortifrut 100g,S/ 11.99,wong,FRESA,2024-12-07 17:34:37.667164
Cerezas Dole x kg,S/ 60.00 x kg,wong,FRESA,2024-12-07 17:34:37.667164
Mix de Berries Hortifrut 340g,S/ 27.50,wong,FRESA,2024-12-07 17:34:37.667164
Arándanos Hortifrut 125g,S/ 5.99,wong,FRESA,2024-12-07 17:34:37.667164
Fresa Entera Congelada El Frutero 1kg,S/ 12.79,wong,FRESA,2024-12-07 17:34:37.667164
"Mix de Arándano, Fresa y Frambuesa El Frutero 1kg",S/ 16.79,wong,FRESA,2024-12-07 17:34:37.667164
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",S/ 15.72,wong,FRESA,2024-12-07 17:34:37.667164
"Arándanos, Fresas, Zarzamoras, Cerezas y Frambuesas Congeladas Berries Del Perú Bolsa 350 g",S/ 13.52,wong,FRESA,2024-12-07 17:34:37.667164
Pulpa de Fresa Congelada El Frutero 500g,S/ 7.19,wong,FRESA,2024-12-07 17:34:37.667164
"Arándanos, Fresas, Zarzamoras y Cerezas Congeladas Berries Del Perú Bolsa 350 g",S/ 12.72,wong,FRESA,2024-12-07 17:34:37.667164
Mix de Frutas El Frutero 1kg: Fresa + Papaya + Piña,S/ 14.99,wong,FRESA,2024-12-07 17:34:37.667164
Fresas Congeladas Berries del Perú 1kg,S/ 14.32,wong,FRESA,2024-12-07 17:34:37.667164
Fresas Congeladas Berries Del Perú Bolsa 350 g,S/ 7.12,wong,FRESA,2024-12-07 17:34:37.667164
Fresa Entera Congelada Green Food Bolsa 1 Kg,S/ 16.99,wong,FRESA,2024-12-07 17:34:37.667164
Fresa Entera Green Food 400g,S/ 5.59,wong,FRESA,2024-12-07 17:34:37.667164
Piña Golden en Trozos Congelada El Frutero 1kg,S/ 13.59,wong,FRESA,2024-12-07 17:34:37.667164
Papaya en Trozos Congelada El Frutero 1kg,S/ 12.55,wong,FRESA,2024-12-07 17:34:37.667164
Arándano Entero Congelado El Frutero 1kg,S/ 20.99,wong,FRESA,2024-12-07 17:34:37.667164
Piña Orgánica Golden x kg,S/ 12.49 x kg,wong,FRESA,2024-12-07 17:34:37.667164
Pulpa de Maracuyá Congelada El Frutero 500g,S/ 9.44,wong,FRESA,2024-12-07 17:34:37.667164
Plátano Bizcocho Orgánico x kg,S/ 6.99 x kg,wong,FRESA,2024-12-07 17:34:37.667164
Pulpa de Lúcuma Congelada El Frutero 500g,S/ 9.83,wong,FRESA,2024-12-07 17:34:37.667164
"Arándanos, Zarzamoras y Frambuesas Congeladas Berries Del Perú Bolsa 350 g",S/ 13.03,wong,FRESA,2024-12-07 17:34:37.667164
Pulpa de Mango Congelada El Frutero 500g,S/ 6.59,wong,FRESA,2024-12-07 17:34:37.667164
Frambuesa Congelada El Frutero 500g,S/ 28.99,wong,FRESA,2024-12-07 17:34:37.667164
Piña Golden en Trozos Congelados 1kg,S/ 16.99,wong,FRESA,2024-12-07 17:34:37.667164
Frambuesas Congeladas Berries Del Perú Bolsa 350g,S/ 23.92,wong,FRESA,2024-12-07 17:34:37.667164
Arándanos Congelados Berries del Perú 1kg,S/ 19.68,wong,FRESA,2024-12-07 17:34:37.667164
Paletas de Helado Alaska Fresa 5un,S/ 14.40,wong,FRESA,2024-12-07 17:34:37.667164
Helado Frio Rico Crocante Fresa de Huaura 900ml,S/ 24.90,wong,FRESA,2024-12-07 17:34:37.667164
Cerezas Congeladas Berries Del Perú Bolsa 350 g,S/ 16.63,wong,FRESA,2024-12-07 17:34:37.667164
Helado Haagen Dazs Fresa 473ml,S/ 34.90,wong,FRESA,2024-12-07 17:34:37.667164
Arándanos Congelados Berries Del Perú Bolsa 350g,S/ 11.11,wong,FRESA,2024-12-07 17:34:37.667164
Plátano Bellaco Orgánico Patt Fresh x kg,S/ 5.19 x kg,wong,FRESA,2024-12-07 17:34:37.667164
Pulpa de Acaí Congelado Berries Del Perú Bolsa 400 g,S/ 26.15,wong,FRESA,2024-12-07 17:34:37.667164
Frutas del Bosque Green Food 400g,S/ 15.00,wong,FRESA,2024-12-07 17:34:37.667164
Néctar Light de Fresa con Naranja Ecofresh Botella 1.8L,S/ 19.90,wong,FRESA,2024-12-07 17:34:37.667164
Frambuesa Entera Congelada Green Food Bolsa 400 g,S/ 23.91,wong,FRESA,2024-12-07 17:34:37.667164
Helado Haagen Dazs Macaron Fresa y Frambuesa 420ml,S/ 38.70,wong,FRESA,2024-12-07 17:34:37.667164
