description,price,website,search_term,scrape_timestamp
Hierba Luisa Hornimans Caja 100 Sobres,S/ 10.80,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Hierba Luisa Hornimans 25un,S/ 3.90,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Hierba Luisa Naturandes- Hierba Luisa,S/ 8.40,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Cuisine & Co Hierba Luisa para Infusión Caja 20 unid,S/ 3.20,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Hierbas de Mate con Palo Playadito Bolsa 500 gr,S/ 38.20,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Hierbas de Mate con Palo Bolsa 1 Kg + Bombilla Rosamonte,S/ 159.90,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Infusión de Hierba Luisa McColins 100un,S/ 12.90,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Infusión Orgánica de Hierba Luisa Sunka 20un,S/ 4.30,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Infusión de Hierbas Limón y Jengibre Caja 10 unid,S/ 19.90,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Infusión de Hierba Luisa McColins 25un,S/ 4.40,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Infusión de Hierba Luisa Orgánica Nature's Heart 20g,S/ 8.50,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Infusión Andina Wawasana de Hierbas Detox 12un,S/ 6.40,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Té de Hierbas Bigelow Red Strawberry 20 Filtrantes,S/ 26.90,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Infusión de Hierbas Wawasana Prostaté 20un,S/ 11.60,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
Té de Hierbas Bigelow Lemon Ginger 20 Filtrantes,S/ 26.90,wong,HIERBAS PARA INFUSIONES,2024-12-07 18:23:12.764614
