description,price,website,search_term,scrape_timestamp
Pasas Morenas Vallealto 250g,S/ 8.20,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Morenas Vallealto 150g,S/ 5.10,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Morenas Cuisine&Co Pote 250 g,S/ 7.99,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Morenas Cuisine&Co 150g,S/ 4.90,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Rubias Vallealto 150g,S/ 11.60,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Rubias Cuisine & Co 150g,S/ 10.90,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Bañadas con Chocolate Fochis 70g,S/ 5.80,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Borrachas con Chocolate 2 Cerritos Bolsa 125 gr,S/ 10.10,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Rubias x kg,S/ 49.50 x kg,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Morenas Villa Natura 250g,S/ 9.20,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Morenas Villa Natura 200g,S/ 7.70,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Rubias Villa Natura 200g,S/ 11.90,wong,PASAS,2024-12-07 17:38:06.476310
Pasas con Chocolate 2 Cerritos Bolsa 125 gr,S/ 10.10,wong,PASAS,2024-12-07 17:38:06.476310
Pasas Morenas Villa Natura 500g,S/ 15.60,wong,PASAS,2024-12-07 17:38:06.476310
Granola con Pasas y Almendras Unión Doypack 400g,S/ 16.50,wong,PASAS,2024-12-07 17:38:06.476310
Granola Almendras y Pasas Cuisine & Co 300g,S/ 10.90,wong,PASAS,2024-12-07 17:38:06.476310
Panetón Winter's Sin Pasas Sin Frutas Doypack 500g,S/ 13.52,wong,PASAS,2024-12-07 17:38:06.476310
Chocolate con Leche Milky Pecanas y Pasas 40% Cacao 50g,S/ 8.50,wong,PASAS,2024-12-07 17:38:06.476310
Barras de Quinua Qfoods Pasas con Chocolate 6un,S/ 20.90,wong,PASAS,2024-12-07 17:38:06.476310
"Granola Crosoy Pasas, Coco y Almendras 380g",S/ 14.40,wong,PASAS,2024-12-07 17:38:06.476310
Maní con Pasas Vallealto Bolsa 150 gr,S/ 5.60,wong,PASAS,2024-12-07 17:38:06.476310
Sixpack Chocolate con Leche Milky Pecanas y Pasas 40% Cacao 50g,S/ 47.90,wong,PASAS,2024-12-07 17:38:06.476310
Humita Dulce con Manjar y Pasas x un,S/ 7.00,wong,PASAS,2024-12-07 17:38:06.476310
"Granola Orgánica Castañas, Pasas y Quinua Wasi Doypack 300 g",S/ 18.50,wong,PASAS,2024-12-07 17:38:06.476310
Maní con Pasas Cuisine & Co Bolsa 200 gr,S/ 5.20,wong,PASAS,2024-12-07 17:38:06.476310
"Granola Orgánica Pecanas, Pasas y Quinua Wasi Doypack 300 g",S/ 18.50,wong,PASAS,2024-12-07 17:38:06.476310
Bombones con Pisco y Pasas Di Perugia Licorinas 84g,S/ 18.90,wong,PASAS,2024-12-07 17:38:06.476310
Yogurt con Linaza Gloria Actibio Sabor Higo Guindón y Pasas 950g,S/ 6.70,wong,PASAS,2024-12-07 17:38:06.476310
Chocolate Milky La Iberica Con 25% Pecanas y Pasas y 38% Cacao Tableta 100 g,S/ 20.20,wong,PASAS,2024-12-07 17:38:06.476310
Maní con Pasas x kg,S/ 32.00 x kg,wong,PASAS,2024-12-07 17:38:06.476310
Yogurt con Linaza Gloria Actibio Sabor Higo Guindón y Pasas 1.7kg,S/ 10.50,wong,PASAS,2024-12-07 17:38:06.476310
Bolitas De Cereal Maní y Pasas Truballs Doypack 90 g,S/ 8.80,wong,PASAS,2024-12-07 17:38:06.476310
Pan con Pasas y Pecanas Cuisine & Co 2un,S/ 13.52,wong,PASAS,2024-12-07 17:38:06.476310
"Tostadas Nat Crackers Caju, Pasas y Jengibre 160g",S/ 20.50,wong,PASAS,2024-12-07 17:38:06.476310
Turrón Crosoy Ajonjolí C/Pasas Pack 6 Unidades,S/ 12.80,wong,PASAS,2024-12-07 17:38:06.476310
Bombones con Trufa al Pisco y Pasas Di Perugia Licorinas 168g,S/ 37.90,wong,PASAS,2024-12-07 17:38:06.476310
Chocolate de Leche con Pasas y Nueces Tana 40% Cacao 85g,S/ 18.90,wong,PASAS,2024-12-07 17:38:06.476310
Chocolate Relleno con Pasas Maceradas Bombón 2 Cerritos Bolsa 125 gr,S/ 12.90,wong,PASAS,2024-12-07 17:38:06.476310
Paté Mousse con Pasas y Avellanas x Kg,S/ 155.00 x kg,wong,PASAS,2024-12-07 17:38:06.476310
Puré de Manzana con Pecanas y Pasas Premium Cuisine & Co 500g,S/ 12.90,wong,PASAS,2024-12-07 17:38:06.476310
Pan Pasas y Nueces L'Artisan x un,S/ 15.50,wong,PASAS,2024-12-07 17:38:06.476310
Yogurt Gloria Actibio Sabor Higo Guindón y Pasas Botella 180ml,S/ 2.40,wong,PASAS,2024-12-07 17:38:06.476310
Galletas Dolce María con Pasas 100g,S/ 9.90,wong,PASAS,2024-12-07 17:38:06.476310
Chocoteja de Pasas Borrachas Helena 30g,S/ 5.99,wong,PASAS,2024-12-07 17:38:06.476310
Viola Muesli de Nueces y Pasas Paquete 500 g,S/ 11.50,wong,PASAS,2024-12-07 17:38:06.476310
"Mix de Maní Tostado, Maní Confitado, Almendras y Pasas Trunuts Blue Mix Doypack 125 g",S/ 9.90,wong,PASAS,2024-12-07 17:38:06.476310
Macerado de Pasas en Pisco Don Santiago Botella 500ml,S/ 74.90,wong,PASAS,2024-12-07 17:38:06.476310
